Time,Time Code,Country ..me,Country Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
1990,YR1990,Afghanistan,AFG,50.331
1990,YR1990,Albania,ALB,71.836
1990,YR1990,Algeria,DZA,66.938
1990,YR1990,American Samoa,ASM,..
1990,YR1990,Andorra,AND,..
1990,YR1990,Angola,AGO,45.306
1990,YR1990,Antigua and Barbuda,ATG,71.52
1990,YR1990,Argenti..,ARG,71.594
1990,YR1990,Armenia,ARM,67.879
1990,YR1990,Aruba,ABW,73.468
1990,YR1990,Australia,AUS,76.99463415
1990,YR1990,Austria,AUT,75.56829268
1990,YR1990,Azerbaijan,AZE,64.827
1990,YR1990,"Bahamas, The",BHS,70.199
1990,YR1990,Bahrain,BHR,72.39
1990,YR1990,Bangladesh,BGD,58.21
1990,YR1990,Barbados,BRB,74.704
1990,YR1990,Belarus,BLR,70.83658537
1990,YR1990,Belgium,BEL,76.05195122
1990,YR1990,Belize,BLZ,71.242
1990,YR1990,Benin,BEN,53.812
1990,YR1990,Bermuda,BMU,..
1990,YR1990,Bhutan,BTN,52.878
1990,YR1990,Bolivia,BOL,56.099
1990,YR1990,Bosnia and Herzegovi..,BIH,70.877
1990,YR1990,Botswa..,BWA,59.191
1990,YR1990,Brazil,BRA,66.343
1990,YR1990,British Virgin Islands,VGB,..
1990,YR1990,Brunei Darussalam,BRN,70.185
1990,YR1990,Bulgaria,BGR,71.64146341
1990,YR1990,Burki.. Faso,BFA,49.454
1990,YR1990,Burundi,BDI,47.829
1990,YR1990,Cabo Verde,CPV,64.676
1990,YR1990,Cambodia,KHM,53.595
1990,YR1990,Cameroon,CMR,53.362
1990,YR1990,Ca..da,CAN,77.42195122
1990,YR1990,Cayman Islands,CYM,..
1990,YR1990,Central African Republic,CAF,49.104
1990,YR1990,Chad,TCD,47.019
1990,YR1990,Channel Islands,CHI,75.41
1990,YR1990,Chile,CHL,73.509
1990,YR1990,Chi..,CHN,69.145
1990,YR1990,Colombia,COL,69.75
1990,YR1990,Comoros,COM,56.677
1990,YR1990,"Congo, Dem. Rep.",COD,49.043
1990,YR1990,"Congo, Rep.",COG,54.638
1990,YR1990,Costa Rica,CRI,75.654
1990,YR1990,Cote d'Ivoire,CIV,53.254
1990,YR1990,Croatia,HRV,72.1704878
1990,YR1990,Cuba,CUB,74.638
1990,YR1990,Curacao,CUW,..
1990,YR1990,Cyprus,CYP,76.554
1990,YR1990,Czech Republic,CZE,71.38390244
1990,YR1990,Denmark,DNK,74.80536585
1990,YR1990,Djibouti,DJI,56.678
1990,YR1990,Dominica,DMA,..
1990,YR1990,Dominican Republic,DOM,66.574
1990,YR1990,Ecuador,ECU,68.899
1990,YR1990,"Egypt, Arab Rep.",EGY,64.572
1990,YR1990,El Salvador,SLV,64
1990,YR1990,Equatorial Guinea,GNQ,48.775
1990,YR1990,Eritrea,ERI,49.588
1990,YR1990,Estonia,EST,69.47560976
1990,YR1990,Eswatini,SWZ,61.95
1990,YR1990,Ethiopia,ETH,47.099
1990,YR1990,Faroe Islands,FRO,76.11463415
1990,YR1990,Fiji,FJI,65.379
1990,YR1990,Finland,FIN,74.81317073
1990,YR1990,France,FRA,76.6
1990,YR1990,French Polynesia,PYF,68.704
1990,YR1990,Gabon,GAB,60.965
1990,YR1990,"Gambia, The",GMB,52.221
1990,YR1990,Georgia,GEO,70.386
1990,YR1990,Germany,DEU,75.2277561
1990,YR1990,Gha..,GHA,56.776
1990,YR1990,Gibraltar,GIB,..
1990,YR1990,Greece,GRC,76.93902439
1990,YR1990,Greenland,GRL,65.06829268
1990,YR1990,Gre..da,GRD,69.598
1990,YR1990,Guam,GUM,71.925
1990,YR1990,Guatemala,GTM,62.261
1990,YR1990,Guinea,GIN,49.987
1990,YR1990,Guinea-Bissau,GNB,47.095
1990,YR1990,Guya..,GUY,63.287
1990,YR1990,Haiti,HTI,54.265
1990,YR1990,Honduras,HND,66.723
1990,YR1990,"Hong Kong SAR, Chi..",HKG,77.3804878
1990,YR1990,Hungary,HUN,69.31560976
1990,YR1990,Iceland,ISL,78.03634146
1990,YR1990,India,IND,57.865
1990,YR1990,Indonesia,IDN,62.32
1990,YR1990,"Iran, Islamic Rep.",IRN,63.837
1990,YR1990,Iraq,IRQ,66.011
1990,YR1990,Ireland,IRL,74.80909756
1990,YR1990,Isle of Man,IMN,..
1990,YR1990,Israel,ISR,76.60731707
1990,YR1990,Italy,ITA,76.97073171
1990,YR1990,Jamaica,JAM,73.204
1990,YR1990,Japan,JPN,78.83682927
1990,YR1990,Jordan,JOR,69.872
1990,YR1990,Kazakhstan,KAZ,68.33658537
1990,YR1990,Kenya,KEN,57.406
1990,YR1990,Kiribati,KIR,59.636
1990,YR1990,"Korea, Dem. People’s Rep.",PRK,69.896
1990,YR1990,"Korea, Rep.",KOR,71.59756098
1990,YR1990,Kosovo,XKX,67.74878049
1990,YR1990,Kuwait,KWT,72.15
1990,YR1990,Kyrgyz Republic,KGZ,68.29756098
1990,YR1990,Lao PDR,LAO,53.364
1990,YR1990,Latvia,LVA,69.27317073
1990,YR1990,Lebanon,LBN,70.266
1990,YR1990,Lesotho,LSO,59.837
1990,YR1990,Liberia,LBR,46.046
1990,YR1990,Libya,LBY,68.503
1990,YR1990,Liechtenstein,LIE,..
1990,YR1990,Lithuania,LTU,71.16073171
1990,YR1990,Luxembourg,LUX,75.01041463
1990,YR1990,"Macao SAR, Chi..",MAC,77.296
1990,YR1990,Madagascar,MDG,51.003
1990,YR1990,Malawi,MWI,46.096
1990,YR1990,Malaysia,MYS,70.865
1990,YR1990,Maldives,MDV,61.529
1990,YR1990,Mali,MLI,45.746
1990,YR1990,Malta,MLT,76.78607317
1990,YR1990,Marshall Islands,MHL,..
1990,YR1990,Mauritania,MRT,59.688
1990,YR1990,Mauritius,MUS,69.40487805
1990,YR1990,Mexico,MEX,70.866
1990,YR1990,"Micronesia, Fed. Sts.",FSM,63.605
1990,YR1990,Moldova,MDA,67.643
1990,YR1990,Mo..co,MCO,..
1990,YR1990,Mongolia,MNG,60.268
1990,YR1990,Montenegro,MNE,74.627
1990,YR1990,Morocco,MAR,64.732
1990,YR1990,Mozambique,MOZ,45.261
1990,YR1990,Myanmar,MMR,56.849
1990,YR1990,..mibia,..M,61.608
1990,YR1990,..uru,NRU,..
1990,YR1990,Nepal,NPL,54.404
1990,YR1990,Netherlands,NLD,76.87804878
1990,YR1990,New Caledonia,NCL,70.48536585
1990,YR1990,New Zealand,NZL,75.37804878
1990,YR1990,Nicaragua,NIC,64.293
1990,YR1990,Niger,NER,43.538
1990,YR1990,Nigeria,NGA,45.9
1990,YR1990,North Macedonia,MKD,71.152
1990,YR1990,Northern Maria.. Islands,MNP,..
1990,YR1990,Norway,NOR,76.53731707
1990,YR1990,Oman,OMN,67.18
1990,YR1990,Pakistan,PAK,60.1
1990,YR1990,Palau,PLW,69.06926829
1990,YR1990,Pa..ma,PAN,72.982
1990,YR1990,Papua New Guinea,PNG,56.492
1990,YR1990,Paraguay,PRY,68.545
1990,YR1990,Peru,PER,66.165
1990,YR1990,Philippines,PHL,66.366
1990,YR1990,Poland,POL,70.8902439
1990,YR1990,Portugal,PRT,73.96585366
1990,YR1990,Puerto Rico,PRI,74.16917073
1990,YR1990,Qatar,QAT,75.824
1990,YR1990,Romania,ROU,69.74121951
1990,YR1990,Russian Federation,RUS,68.88609756
1990,YR1990,Rwanda,RWA,33.413
1990,YR1990,Samoa,WSM,66.281
1990,YR1990,San Marino,SMR,..
1990,YR1990,Sao Tome and Principe,STP,58.247
1990,YR1990,Saudi Arabia,SAU,69.078
1990,YR1990,Senegal,SEN,57.202
1990,YR1990,Serbia,SRB,..
1990,YR1990,Seychelles,SYC,68.10731707
1990,YR1990,Sierra Leone,SLE,38.563
1990,YR1990,Singapore,SGP,75.29512195
1990,YR1990,Sint Maarten (Dutch part),SXM,..
1990,YR1990,Slovak Republic,SVK,70.93268293
1990,YR1990,Slovenia,SVN,73.20487805
1990,YR1990,Solomon Islands,SLB,64.365
1990,YR1990,Somalia,SOM,45.378
1990,YR1990,South Africa,ZAF,63.307
1990,YR1990,South Sudan,SSD,43.524
1990,YR1990,Spain,ESP,76.83756098
1990,YR1990,Sri Lanka,LKA,69.509
1990,YR1990,St. Kitts and Nevis,K..,..
1990,YR1990,St. Lucia,LCA,71.074
1990,YR1990,St. Martin (French part),MAF,74.52195122
1990,YR1990,St. Vincent and the Gre..dines,VCT,70.58
1990,YR1990,Sudan,SDN,55.5
1990,YR1990,Suri..me,SUR,67.436
1990,YR1990,Sweden,SWE,77.53682927
1990,YR1990,Switzerland,CHE,77.24243902
1990,YR1990,Syrian Arab Republic,SYR,70.553
1990,YR1990,Tajikistan,TJK,58.824
1990,YR1990,Tanzania,TZA,50.206
1990,YR1990,Thailand,THA,70.248
1990,YR1990,Timor-Leste,TLS,48.492
1990,YR1990,Togo,TGO,55.887
1990,YR1990,Tonga,TON,68.935
1990,YR1990,Trinidad and Tobago,TTO,68.086
1990,YR1990,Tunisia,TUN,68.792
1990,YR1990,Turkey,TUR,64.256
1990,YR1990,Turkmenistan,TKM,62.81
1990,YR1990,Turks and Caicos Islands,TCA,..
1990,YR1990,Tuvalu,TUV,..
1990,YR1990,Uganda,UGA,45.853
1990,YR1990,Ukraine,UKR,70.09756098
1990,YR1990,United Arab Emirates,ARE,71.939
1990,YR1990,United Kingdom,GBR,75.8804878
1990,YR1990,United States,USA,75.21463415
1990,YR1990,Uruguay,URY,72.569
1990,YR1990,Uzbekistan,UZB,66.481
1990,YR1990,Vanuatu,VUT,64.721
1990,YR1990,"Venezuela, RB",VEN,70.658
1990,YR1990,Viet..m,VNM,70.551
1990,YR1990,Virgin Islands (U.S.),VIR,74.23585366
1990,YR1990,West Bank and Gaza,PSE,68.048
1990,YR1990,"Yemen, Rep.",YEM,57.346
1990,YR1990,Zambia,ZMB,49.249
1990,YR1990,Zimbabwe,ZWE,58.1
1990,YR1990,Arab World,ARB,64.35157697
1990,YR1990,Caribbean small states,CSS,70.19763108
1990,YR1990,Central Europe and the Baltics,CEB,70.65633134
1990,YR1990,Early-demographic dividend,EAR,60.49144914
1990,YR1990,East Asia & Pacific,EAS,68.92754337
1990,YR1990,East Asia & Pacific (excluding high income),EAP,67.88613833
1990,YR1990,East Asia & Pacific (IDA & IBRD countries),TEA,67.86041379
1990,YR1990,Euro area,EMU,75.91180788
1990,YR1990,Europe & Central Asia,ECS,72.04651869
1990,YR1990,Europe & Central Asia (excluding high income),ECA,68.18460012
1990,YR1990,Europe & Central Asia (IDA & IBRD countries),TEC,68.47494387
1990,YR1990,European Union,EUU,74.73066242
1990,YR1990,Fragile and conflict affected situations,FCS,53.24456814
1990,YR1990,Heavily indebted poor countries (HIPC),HPC,49.93684866
1990,YR1990,High income,HIC,75.42240997
1990,YR1990,IBRD only,IBD,65.43101282
1990,YR1990,IDA & IBRD total,IBT,63.14856425
1990,YR1990,IDA blend,IDB,55.22430139
1990,YR1990,IDA only,IDX,52.9729285
1990,YR1990,IDA total,IDA,53.73572938
1990,YR1990,Late-demographic dividend,LTE,69.06377296
1990,YR1990,Latin America & Caribbean,LCN,68.31079757
1990,YR1990,Latin America & Caribbean (excluding high income),LAC,68.02872646
1990,YR1990,Latin America & the Caribbean (IDA & IBRD countries),TLA,68.09749537
1990,YR1990,Least developed countries: UN classification,LDC,51.7327278
1990,YR1990,Low & middle income,LMY,63.08582015
1990,YR1990,Low income,LIC,50.75649706
1990,YR1990,Lower middle income,LMC,59.18185437
1990,YR1990,Middle East & North Africa,MEA,65.76998518
1990,YR1990,Middle East & North Africa (excluding high income),M..,65.13628746
1990,YR1990,Middle East & North Africa (IDA & IBRD countries),TMN,65.11060497
1990,YR1990,Middle income,MIC,64.12654611
1990,YR1990,North America,..C,75.43504527
1990,YR1990,Not classified,INX,..
1990,YR1990,OECD members,OED,74.68993483
1990,YR1990,Other small states,OSS,62.22331882
1990,YR1990,Pacific island small states,PSS,65.09727675
1990,YR1990,Post-demographic dividend,PST,75.47946421
1990,YR1990,Pre-demographic dividend,PRE,49.71935386
1990,YR1990,Small states,SST,64.29751406
1990,YR1990,South Asia,SAS,58.14480099
1990,YR1990,South Asia (IDA & IBRD),TSA,58.14480099
1990,YR1990,Sub-Saharan Africa,SSF,50.21457418
1990,YR1990,Sub-Saharan Africa (excluding high income),SSA,50.21213265
1990,YR1990,Sub-Saharan Africa (IDA & IBRD countries),TSS,50.21457418
1990,YR1990,Upper middle income,UMC,68.62429938
1990,YR1990,World,WLD,65.4337949
2000,YR2000,Afghanistan,AFG,55.841
2000,YR2000,Albania,ALB,73.955
2000,YR2000,Algeria,DZA,70.64
2000,YR2000,American Samoa,ASM,..
2000,YR2000,Andorra,AND,..
2000,YR2000,Angola,AGO,46.522
2000,YR2000,Antigua and Barbuda,ATG,73.94
2000,YR2000,Argenti..,ARG,73.576
2000,YR2000,Armenia,ARM,71.409
2000,YR2000,Aruba,ABW,73.787
2000,YR2000,Australia,AUS,79.23414634
2000,YR2000,Austria,AUT,78.12682927
2000,YR2000,Azerbaijan,AZE,66.763
2000,YR2000,"Bahamas, The",BHS,71.914
2000,YR2000,Bahrain,BHR,74.44
2000,YR2000,Bangladesh,BGD,65.447
2000,YR2000,Barbados,BRB,77.162
2000,YR2000,Belarus,BLR,68.91219512
2000,YR2000,Belgium,BEL,77.72195122
2000,YR2000,Belize,BLZ,68.847
2000,YR2000,Benin,BEN,55.391
2000,YR2000,Bermuda,BMU,77.88536585
2000,YR2000,Bhutan,BTN,60.884
2000,YR2000,Bolivia,BOL,62.452
2000,YR2000,Bosnia and Herzegovi..,BIH,74.403
2000,YR2000,Botswa..,BWA,50.629
2000,YR2000,Brazil,BRA,70.116
2000,YR2000,British Virgin Islands,VGB,..
2000,YR2000,Brunei Darussalam,BRN,72.809
2000,YR2000,Bulgaria,BGR,71.66341463
2000,YR2000,Burki.. Faso,BFA,50.489
2000,YR2000,Burundi,BDI,49.091
2000,YR2000,Cabo Verde,CPV,68.583
2000,YR2000,Cambodia,KHM,58.432
2000,YR2000,Cameroon,CMR,50.993
2000,YR2000,Ca..da,CAN,79.13658537
2000,YR2000,Cayman Islands,CYM,..
2000,YR2000,Central African Republic,CAF,44.19
2000,YR2000,Chad,TCD,47.713
2000,YR2000,Channel Islands,CHI,79.037
2000,YR2000,Chile,CHL,76.366
2000,YR2000,Chi..,CHN,71.397
2000,YR2000,Colombia,COL,72.945
2000,YR2000,Comoros,COM,59.46
2000,YR2000,"Congo, Dem. Rep.",COD,50.041
2000,YR2000,"Congo, Rep.",COG,52.123
2000,YR2000,Costa Rica,CRI,77.452
2000,YR2000,Cote d'Ivoire,CIV,49.635
2000,YR2000,Croatia,HRV,72.80780488
2000,YR2000,Cuba,CUB,76.699
2000,YR2000,Curacao,CUW,..
2000,YR2000,Cyprus,CYP,78.009
2000,YR2000,Czech Republic,CZE,74.96829268
2000,YR2000,Denmark,DNK,76.59268293
2000,YR2000,Djibouti,DJI,57.022
2000,YR2000,Dominica,DMA,..
2000,YR2000,Dominican Republic,DOM,69.429
2000,YR2000,Ecuador,ECU,72.761
2000,YR2000,"Egypt, Arab Rep.",EGY,68.602
2000,YR2000,El Salvador,SLV,68.875
2000,YR2000,Equatorial Guinea,GNQ,53.279
2000,YR2000,Eritrea,ERI,55.273
2000,YR2000,Estonia,EST,70.41707317
2000,YR2000,Eswatini,SWZ,47.49
2000,YR2000,Ethiopia,ETH,51.941
2000,YR2000,Faroe Islands,FRO,78.43414634
2000,YR2000,Fiji,FJI,65.687
2000,YR2000,Finland,FIN,77.46585366
2000,YR2000,France,FRA,79.05609756
2000,YR2000,French Polynesia,PYF,72.303
2000,YR2000,Gabon,GAB,58.264
2000,YR2000,"Gambia, The",GMB,55.956
2000,YR2000,Georgia,GEO,69.902
2000,YR2000,Germany,DEU,77.92682927
2000,YR2000,Gha..,GHA,57.002
2000,YR2000,Gibraltar,GIB,..
2000,YR2000,Greece,GRC,77.88780488
2000,YR2000,Greenland,GRL,66.96341463
2000,YR2000,Gre..da,GRD,72.648
2000,YR2000,Guam,GUM,75.011
2000,YR2000,Guatemala,GTM,67.849
2000,YR2000,Guinea,GIN,51.203
2000,YR2000,Guinea-Bissau,GNB,50.368
2000,YR2000,Guya..,GUY,65.242
2000,YR2000,Haiti,HTI,57.131
2000,YR2000,Honduras,HND,70.689
2000,YR2000,"Hong Kong SAR, Chi..",HKG,80.87804878
2000,YR2000,Hungary,HUN,71.24634146
2000,YR2000,Iceland,ISL,79.65365854
2000,YR2000,India,IND,62.505
2000,YR2000,Indonesia,IDN,65.772
2000,YR2000,"Iran, Islamic Rep.",IRN,70.176
2000,YR2000,Iraq,IRQ,69.082
2000,YR2000,Ireland,IRL,76.53658537
2000,YR2000,Isle of Man,IMN,..
2000,YR2000,Israel,ISR,78.95365854
2000,YR2000,Italy,ITA,79.77804878
2000,YR2000,Jamaica,JAM,74.142
2000,YR2000,Japan,JPN,81.07609756
2000,YR2000,Jordan,JOR,71.73
2000,YR2000,Kazakhstan,KAZ,65.51707317
2000,YR2000,Kenya,KEN,50.921
2000,YR2000,Kiribati,KIR,63.144
2000,YR2000,"Korea, Dem. People’s Rep.",PRK,65.268
2000,YR2000,"Korea, Rep.",KOR,75.9097561
2000,YR2000,Kosovo,XKX,67.95121951
2000,YR2000,Kuwait,KWT,73.142
2000,YR2000,Kyrgyz Republic,KGZ,68.55853659
2000,YR2000,Lao PDR,LAO,58.803
2000,YR2000,Latvia,LVA,70.31463415
2000,YR2000,Lebanon,LBN,74.507
2000,YR2000,Lesotho,LSO,47.691
2000,YR2000,Liberia,LBR,51.734
2000,YR2000,Libya,LBY,70.852
2000,YR2000,Liechtenstein,LIE,76.82682927
2000,YR2000,Lithuania,LTU,72.0195122
2000,YR2000,Luxembourg,LUX,77.87317073
2000,YR2000,"Macao SAR, Chi..",MAC,80.407
2000,YR2000,Madagascar,MDG,58.485
2000,YR2000,Malawi,MWI,45.09
2000,YR2000,Malaysia,MYS,72.594
2000,YR2000,Maldives,MDV,70.173
2000,YR2000,Mali,MLI,48.069
2000,YR2000,Malta,MLT,78.34878049
2000,YR2000,Marshall Islands,MHL,65.23902439
2000,YR2000,Mauritania,MRT,60.706
2000,YR2000,Mauritius,MUS,71.66341463
2000,YR2000,Mexico,MEX,74.34
2000,YR2000,"Micronesia, Fed. Sts.",FSM,64.55
2000,YR2000,Moldova,MDA,67.006
2000,YR2000,Mo..co,MCO,..
2000,YR2000,Mongolia,MNG,62.869
2000,YR2000,Montenegro,MNE,73.228
2000,YR2000,Morocco,MAR,68.684
2000,YR2000,Mozambique,MOZ,48.946
2000,YR2000,Myanmar,MMR,60.063
2000,YR2000,..mibia,..M,52.192
2000,YR2000,..uru,NRU,..
2000,YR2000,Nepal,NPL,62.288
2000,YR2000,Netherlands,NLD,77.98780488
2000,YR2000,New Caledonia,NCL,75.16341463
2000,YR2000,New Zealand,NZL,78.63658537
2000,YR2000,Nicaragua,NIC,69.527
2000,YR2000,Niger,NER,49.928
2000,YR2000,Nigeria,NGA,46.267
2000,YR2000,North Macedonia,MKD,73.267
2000,YR2000,Northern Maria.. Islands,MNP,..
2000,YR2000,Norway,NOR,78.63414634
2000,YR2000,Oman,OMN,72.126
2000,YR2000,Pakistan,PAK,62.82
2000,YR2000,Palau,PLW,70.49365854
2000,YR2000,Pa..ma,PAN,75.06
2000,YR2000,Papua New Guinea,PNG,59.265
2000,YR2000,Paraguay,PRY,70.546
2000,YR2000,Peru,PER,71.111
2000,YR2000,Philippines,PHL,68.793
2000,YR2000,Poland,POL,73.74878049
2000,YR2000,Portugal,PRT,76.31463415
2000,YR2000,Puerto Rico,PRI,76.68926829
2000,YR2000,Qatar,QAT,77.467
2000,YR2000,Romania,ROU,71.16341463
2000,YR2000,Russian Federation,RUS,65.48365854
2000,YR2000,Rwanda,RWA,48.649
2000,YR2000,Samoa,WSM,68.748
2000,YR2000,San Marino,SMR,..
2000,YR2000,Sao Tome and Principe,STP,61.365
2000,YR2000,Saudi Arabia,SAU,72.561
2000,YR2000,Senegal,SEN,57.787
2000,YR2000,Serbia,SRB,71.58292683
2000,YR2000,Seychelles,SYC,72.77804878
2000,YR2000,Sierra Leone,SLE,39.441
2000,YR2000,Singapore,SGP,77.95121951
2000,YR2000,Sint Maarten (Dutch part),SXM,..
2000,YR2000,Slovak Republic,SVK,73.05121951
2000,YR2000,Slovenia,SVN,75.41219512
2000,YR2000,Solomon Islands,SLB,67.442
2000,YR2000,Somalia,SOM,50.869
2000,YR2000,South Africa,ZAF,56.048
2000,YR2000,South Sudan,SSD,49.166
2000,YR2000,Spain,ESP,78.96585366
2000,YR2000,Sri Lanka,LKA,71.333
2000,YR2000,St. Kitts and Nevis,K..,..
2000,YR2000,St. Lucia,LCA,73.319
2000,YR2000,St. Martin (French part),MAF,76.97073171
2000,YR2000,St. Vincent and the Gre..dines,VCT,70.809
2000,YR2000,Sudan,SDN,58.472
2000,YR2000,Suri..me,SUR,67.822
2000,YR2000,Sweden,SWE,79.64390244
2000,YR2000,Switzerland,CHE,79.6804878
2000,YR2000,Syrian Arab Republic,SYR,73.11
2000,YR2000,Tajikistan,TJK,61.974
2000,YR2000,Tanzania,TZA,50.801
2000,YR2000,Thailand,THA,70.623
2000,YR2000,Timor-Leste,TLS,59.002
2000,YR2000,Togo,TGO,53.491
2000,YR2000,Tonga,TON,69.667
2000,YR2000,Trinidad and Tobago,TTO,69.413
2000,YR2000,Tunisia,TUN,73.172
2000,YR2000,Turkey,TUR,70.005
2000,YR2000,Turkmenistan,TKM,63.613
2000,YR2000,Turks and Caicos Islands,TCA,..
2000,YR2000,Tuvalu,TUV,..
2000,YR2000,Uganda,UGA,46.229
2000,YR2000,Ukraine,UKR,67.67560976
2000,YR2000,United Arab Emirates,ARE,74.327
2000,YR2000,United Kingdom,GBR,77.74146341
2000,YR2000,United States,USA,76.63658537
2000,YR2000,Uruguay,URY,74.731
2000,YR2000,Uzbekistan,UZB,67.156
2000,YR2000,Vanuatu,VUT,67.363
2000,YR2000,"Venezuela, RB",VEN,72.112
2000,YR2000,Viet..m,VNM,73.025
2000,YR2000,Virgin Islands (U.S.),VIR,76.6195122
2000,YR2000,West Bank and Gaza,PSE,71.022
2000,YR2000,"Yemen, Rep.",YEM,60.683
2000,YR2000,Zambia,ZMB,44
2000,YR2000,Zimbabwe,ZWE,44.649
2000,YR2000,Arab World,ARB,67.80059112
2000,YR2000,Caribbean small states,CSS,71.41918539
2000,YR2000,Central Europe and the Baltics,CEB,72.71972472
2000,YR2000,Early-demographic dividend,EAR,64.40316231
2000,YR2000,East Asia & Pacific,EAS,71.17191891
2000,YR2000,East Asia & Pacific (excluding high income),EAP,70.13617334
2000,YR2000,East Asia & Pacific (IDA & IBRD countries),TEA,70.19841525
2000,YR2000,Euro area,EMU,78.27507038
2000,YR2000,Europe & Central Asia,ECS,73.02594733
2000,YR2000,Europe & Central Asia (excluding high income),ECA,67.56023284
2000,YR2000,Europe & Central Asia (IDA & IBRD countries),TEC,68.15838477
2000,YR2000,European Union,EUU,77.0784478
2000,YR2000,Fragile and conflict affected situations,FCS,54.72926797
2000,YR2000,Heavily indebted poor countries (HIPC),HPC,52.26409976
2000,YR2000,High income,HIC,77.58667641
2000,YR2000,IBRD only,IBD,68.05693751
2000,YR2000,IDA & IBRD total,IBT,65.49101468
2000,YR2000,IDA blend,IDB,55.36121693
2000,YR2000,IDA only,IDX,56.42640566
2000,YR2000,IDA total,IDA,56.06666093
2000,YR2000,Late-demographic dividend,LTE,70.90260242
2000,YR2000,Latin America & Caribbean,LCN,71.68694545
2000,YR2000,Latin America & Caribbean (excluding high income),LAC,71.46197735
2000,YR2000,Latin America & the Caribbean (IDA & IBRD countries),TLA,71.53391165
2000,YR2000,Least developed countries: UN classification,LDC,55.47978615
2000,YR2000,Low & middle income,LMY,65.40253382
2000,YR2000,Low income,LIC,53.56581733
2000,YR2000,Lower middle income,LMC,62.39391373
2000,YR2000,Middle East & North Africa,MEA,69.88725649
2000,YR2000,Middle East & North Africa (excluding high income),M..,69.35469385
2000,YR2000,Middle East & North Africa (IDA & IBRD countries),TMN,69.33706406
2000,YR2000,Middle income,MIC,66.53206418
2000,YR2000,North America,..C,76.88199634
2000,YR2000,Not classified,INX,..
2000,YR2000,OECD members,OED,77.06183125
2000,YR2000,Other small states,OSS,60.24526676
2000,YR2000,Pacific island small states,PSS,66.55718548
2000,YR2000,Post-demographic dividend,PST,77.35565012
2000,YR2000,Pre-demographic dividend,PRE,50.67377581
2000,YR2000,Small states,SST,63.11104347
2000,YR2000,South Asia,SAS,62.82398278
2000,YR2000,South Asia (IDA & IBRD),TSA,62.82398278
2000,YR2000,Sub-Saharan Africa,SSF,50.45021401
2000,YR2000,Sub-Saharan Africa (excluding high income),SSA,50.44749099
2000,YR2000,Sub-Saharan Africa (IDA & IBRD countries),TSS,50.45021401
2000,YR2000,Upper middle income,UMC,70.60591665
2000,YR2000,World,WLD,67.54918887
2010,YR2010,Afghanistan,AFG,61.028
2010,YR2010,Albania,ALB,76.562
2010,YR2010,Algeria,DZA,74.938
2010,YR2010,American Samoa,ASM,..
2010,YR2010,Andorra,AND,..
2010,YR2010,Angola,AGO,55.35
2010,YR2010,Antigua and Barbuda,ATG,75.823
2010,YR2010,Argenti..,ARG,75.278
2010,YR2010,Armenia,ARM,73.331
2010,YR2010,Aruba,ABW,75.017
2010,YR2010,Australia,AUS,81.69512195
2010,YR2010,Austria,AUT,80.5804878
2010,YR2010,Azerbaijan,AZE,70.938
2010,YR2010,"Bahamas, The",BHS,72.144
2010,YR2010,Bahrain,BHR,76.057
2010,YR2010,Bangladesh,BGD,69.881
2010,YR2010,Barbados,BRB,78.364
2010,YR2010,Belarus,BLR,70.40487805
2010,YR2010,Belgium,BEL,80.18292683
2010,YR2010,Belize,BLZ,72.057
2010,YR2010,Benin,BEN,59.318
2010,YR2010,Bermuda,BMU,79.28853659
2010,YR2010,Bhutan,BTN,68.384
2010,YR2010,Bolivia,BOL,68.007
2010,YR2010,Bosnia and Herzegovi..,BIH,76.031
2010,YR2010,Botswa..,BWA,60.211
2010,YR2010,Brazil,BRA,73.619
2010,YR2010,British Virgin Islands,VGB,..
2010,YR2010,Brunei Darussalam,BRN,74.74
2010,YR2010,Bulgaria,BGR,73.51219512
2010,YR2010,Burki.. Faso,BFA,57.096
2010,YR2010,Burundi,BDI,57.228
2010,YR2010,Cabo Verde,CPV,71.062
2010,YR2010,Cambodia,KHM,66.56
2010,YR2010,Cameroon,CMR,55.101
2010,YR2010,Ca..da,CAN,81.24634146
2010,YR2010,Cayman Islands,CYM,82.1902439
2010,YR2010,Central African Republic,CAF,47.312
2010,YR2010,Chad,TCD,50.89
2010,YR2010,Channel Islands,CHI,81.483
2010,YR2010,Chile,CHL,78.779
2010,YR2010,Chi..,CHN,74.409
2010,YR2010,Colombia,COL,75.424
2010,YR2010,Comoros,COM,61.862
2010,YR2010,"Congo, Dem. Rep.",COD,56.909
2010,YR2010,"Congo, Rep.",COG,60.093
2010,YR2010,Costa Rica,CRI,78.769
2010,YR2010,Cote d'Ivoire,CIV,52.964
2010,YR2010,Croatia,HRV,76.47560976
2010,YR2010,Cuba,CUB,78.338
2010,YR2010,Curacao,CUW,..
2010,YR2010,Cyprus,CYP,79.43
2010,YR2010,Czech Republic,CZE,77.42439024
2010,YR2010,Denmark,DNK,79.1
2010,YR2010,Djibouti,DJI,60.062
2010,YR2010,Dominica,DMA,..
2010,YR2010,Dominican Republic,DOM,72.046
2010,YR2010,Ecuador,ECU,75.089
2010,YR2010,"Egypt, Arab Rep.",EGY,70.349
2010,YR2010,El Salvador,SLV,71.21
